priority,brand,appliance,errorCode,pageId,currentSourceLevel,candidateManufacturerDomain,exactSourceUrl,documentTitle,page,section,status,blocker
18,LG,Washer,IE,fix:lg:washer:ie,PRIMARY_EXACT,lg.com,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078,LG Washer Error Code List,help-library,Error code list,verified,
19,LG,Washer,UE,fix:lg:washer:ue,PRIMARY_EXACT,lg.com,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078,LG Washer Error Code List,help-library,Error code list,verified,
20,LG,Washer,PE,fix:lg:washer:pe,PRIMARY_EXACT,lg.com,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078,LG Washer Error Code List,help-library,Error code list,verified,
21,LG,Washer,LE,fix:lg:washer:le,PRIMARY_EXACT,lg.com,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078,LG Washer Error Code List,help-library,Error code list,verified,
22,LG,Washer,tE,fix:lg:washer:te,PRIMARY_EXACT,lg.com,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078,LG Washer Error Code List,help-library,Error code list,verified,
23,LG,Washer,dE,fix:lg:washer:de,PRIMARY_EXACT,lg.com,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078,LG Washer Error Code List,help-library,Error code list,verified,
24,LG,Washer,FE,fix:lg:washer:fe,PRIMARY_EXACT,lg.com,https://www.lg.com/us/support/help-library/lg-washer-error-code-list--20150140270078,LG Washer Error Code List,help-library,Error code list,verified,
25,Bosch,Dishwasher,E15,fix:bosch:dishwasher:e15,PRIMARY_EXACT,bosch-home.com,https://www.bosch-home.com/us/owner-support/get-support/support-selfhelp-dishwasher-error-e15,Dishwasher error E15,self-help,Water in the base / E15,verified,
26,Samsung,Washer,8E,fix:samsung:washer:8e,PRIMARY_GENERAL,samsung.com,,, , ,blocked,UK table meaning (current) does not match our MEMS row
27,Samsung,Washer,11E,fix:samsung:washer:11e,PRIMARY_GENERAL,samsung.com,,, , ,blocked,UK table meaning does not match our comms row
28,Miele,Washer,,fix:miele:*,PRIMARY_GENERAL,miele.com,,, , ,blocked,no exact article verified this pass
