priority,wave,site,pageId,query,locale,signals,status,blocker
115,D,autospec,veh:bmw:3-series:g20:320d-b47:tyres,bmw 3-series g20 320d-b47 tyre pressure,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
116,D,autospec,veh:bmw:3-series:g20:320d-b47:battery,bmw 3-series g20 320d-b47 battery type,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
117,D,autospec,veh:bmw:3-series:g20:320d-b47:maintenance,bmw 3-series g20 320d-b47 service schedule,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
118,D,autospec,veh:bmw:3-series:g20:320d-b47:problems,bmw 3-series g20 320d-b47 service schedule,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
119,D,autospec,veh:toyota:corolla:e210:1-8-hybrid,toyota corolla e210 1-8-hybrid service schedule,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
120,D,autospec,veh:toyota:corolla:e210:1-8-hybrid:oil,toyota corolla e210 1-8-hybrid oil capacity,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
121,D,autospec,veh:toyota:corolla:e210:1-8-hybrid:tyres,toyota corolla e210 1-8-hybrid tyre pressure,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
122,D,autospec,veh:toyota:corolla:e210:1-8-hybrid:battery,toyota corolla e210 1-8-hybrid battery type,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
123,D,autospec,veh:toyota:corolla:e210:1-8-hybrid:maintenance,toyota corolla e210 1-8-hybrid service schedule,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
124,D,autospec,veh:toyota:corolla:e210:1-8-hybrid:problems,toyota corolla e210 1-8-hybrid service schedule,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
125,D,autospec,veh:vw:golf:mk8:2-0-tdi,vw golf mk8 2-0-tdi service schedule,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
126,D,autospec,veh:vw:golf:mk8:2-0-tdi:oil,vw golf mk8 2-0-tdi oil capacity,en-US,autocomplete,autocomplete_observed,
127,D,autospec,veh:vw:golf:mk8:2-0-tdi:tyres,vw golf mk8 2-0-tdi tyre pressure,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
128,E,tripcost,paris-lyon,paris to lyon drive vs train cost,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
129,E,tripcost,paris-lyon:driving,to drive vs train cost,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
130,E,tripcost,paris-barcelona,paris to barcelona drive vs train cost,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
131,E,tripcost,paris-barcelona:driving,to drive vs train cost,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
132,E,tripcost,london-paris,london to paris drive vs train cost,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
133,E,tripcost,london-paris:driving,to drive vs train cost,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
134,E,tripcost,berlin-munich,berlin to munich drive vs train cost,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
135,E,tripcost,berlin-munich:driving,to drive vs train cost,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
136,E,tripcost,paris-amsterdam,paris to amsterdam drive vs train cost,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
137,E,tripcost,paris-amsterdam:driving,to drive vs train cost,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
138,E,tripcost,paris-brussels,paris to brussels drive vs train cost,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
139,E,tripcost,paris-brussels:driving,to drive vs train cost,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
140,E,tripcost,milan-munich,milan to munich drive vs train cost,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
141,E,tripcost,milan-munich:driving,to drive vs train cost,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
142,E,tripcost,paris-rome,paris to rome drive vs train cost,en-US,autocomplete,empty_suggest,suggest HTTP 200 or empty
